"taskOrder"	"JobNo"	"EmpNo"	"TransDate"	"Hours"
"282"	"Bravo"	"Bravo RFS 001"	"589525"	"2018-04"	11.5
"283"	"Bravo"	"Bravo RFS 001"	"589525"	"2018-05"	13
"284"	"Bravo"	"Bravo RFS 001"	"589525"	"2018-06"	8.5
"285"	"Bravo"	"Bravo RFS 001"	"589525"	"2018-07"	9
"286"	"Bravo"	"Bravo RFS 001"	"589525"	"2018-08"	8
"287"	"Bravo"	"Bravo RFS 001"	"589525"	"2018-09"	5
"288"	"Bravo"	"Bravo RFS 001"	"589525"	"2018-10"	0.5
"289"	"Bravo"	"Bravo RFS 001"	"589525"	"2018-11"	6
"290"	"Bravo"	"Bravo RFS 001"	"589525"	"2018-12"	6.5
"291"	"Bravo"	"Bravo RFS 001"	"589679"	"2018-04"	6
"292"	"Bravo"	"Bravo RFS 001"	"589679"	"2018-05"	8
"293"	"Bravo"	"Bravo RFS 001"	"589679"	"2018-06"	8
"294"	"Bravo"	"Bravo RFS 001"	"589679"	"2018-07"	8
"295"	"Bravo"	"Bravo RFS 001"	"589679"	"2018-08"	8
"296"	"Bravo"	"Bravo RFS 001"	"589679"	"2018-09"	8
"297"	"Bravo"	"Bravo RFS 001"	"589679"	"2018-10"	8
"298"	"Bravo"	"Bravo RFS 001"	"589679"	"2018-11"	8
"299"	"Bravo"	"Bravo RFS 001"	"589679"	"2018-12"	8
"300"	"Bravo"	"Bravo RFS 001"	"589738"	"2018-04"	95.5
"301"	"Bravo"	"Bravo RFS 001"	"589738"	"2018-05"	103.5
"302"	"Bravo"	"Bravo RFS 001"	"589738"	"2018-06"	98.5
"303"	"Bravo"	"Bravo RFS 001"	"589738"	"2018-07"	106.5
"304"	"Bravo"	"Bravo RFS 001"	"589738"	"2018-08"	120
"305"	"Bravo"	"Bravo RFS 001"	"589738"	"2018-09"	36
"306"	"Bravo"	"Bravo RFS 001"	"589738"	"2018-10"	1.5
"307"	"Bravo"	"Bravo RFS 001"	"590000"	"2018-03"	87
"308"	"Bravo"	"Bravo RFS 001"	"590191"	"2018-03"	35
"309"	"Bravo"	"Bravo RFS 001"	"591842"	"2018-03"	118.5
"310"	"Bravo"	"Bravo RFS 001"	"591842"	"2018-04"	160
"311"	"Bravo"	"Bravo RFS 001"	"591842"	"2018-05"	156.5
"312"	"Bravo"	"Bravo RFS 001"	"591842"	"2018-06"	168
"313"	"Bravo"	"Bravo RFS 001"	"591842"	"2018-07"	139
"314"	"Bravo"	"Bravo RFS 001"	"591842"	"2018-08"	172.5
"315"	"Bravo"	"Bravo RFS 001"	"592838"	"2018-07"	20
"316"	"Bravo"	"Bravo RFS 001"	"592838"	"2018-08"	20
"317"	"Bravo"	"Bravo RFS 001"	"592855"	"2018-03"	176
"318"	"Bravo"	"Bravo RFS 001"	"592855"	"2018-04"	168
"319"	"Bravo"	"Bravo RFS 001"	"592855"	"2018-05"	165
"320"	"Bravo"	"Bravo RFS 001"	"592855"	"2018-06"	128
"321"	"Bravo"	"Bravo RFS 001"	"592855"	"2018-07"	168
