"lineID"	"empID"	"hours"	"taskOrder"	"task"	"month"
"130"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"580919"	"44"	"Bravo"	"Y1.RFS001"	"2019-07"
"131"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"544094"	"176"	"Bravo"	"Y1.RFS001"	"2019-07"
"132"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"581165"	"5"	"Bravo"	"Y1.RFS001"	"2019-07"
"133"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"582041"	"10"	"Bravo"	"Y1.RFS001"	"2019-07"
"134"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"554288"	"18"	"Bravo"	"Y1.RFS001"	"2019-07"
"135"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"589525"	"5"	"Bravo"	"Y1.RFS001"	"2019-07"
"136"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"539227"	"10"	"Bravo"	"Y1.RFS001"	"2019-07"
"137"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"565937"	"5"	"Bravo"	"Y1.RFS001"	"2019-07"
"138"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"594822"	"5"	"Bravo"	"Y1.RFS001"	"2019-07"
"139"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"589679"	"5"	"Bravo"	"Y1.RFS001"	"2019-07"
"140"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"595900"	"5"	"Bravo"	"Y1.RFS001"	"2019-07"
"141"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"596696"	"18"	"Bravo"	"Y1.RFS001"	"2019-07"
"142"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"599940"	"18"	"Bravo"	"Y1.RFS001"	"2019-08"
"143"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"560435"	"88"	"Bravo"	"Y1.RFS001"	"2019-08"
"144"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"581524"	"18"	"Bravo"	"Y1.RFS001"	"2019-08"
"145"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"600099"	"8"	"Bravo"	"Y1.RFS001"	"2019-08"
"146"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"547825"	"88"	"Bravo"	"Y1.RFS001"	"2019-08"
"147"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"580919"	"44"	"Bravo"	"Y1.RFS001"	"2019-08"
"148"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"544094"	"176"	"Bravo"	"Y1.RFS001"	"2019-08"
"149"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"581165"	"5"	"Bravo"	"Y1.RFS001"	"2019-08"
"150"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"585044"	"40"	"Bravo"	"Y1.RFS001"	"2019-08"
"151"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"582041"	"10"	"Bravo"	"Y1.RFS001"	"2019-08"
"152"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"586349"	"40"	"Bravo"	"Y1.RFS001"	"2019-08"
"153"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"544848"	"40"	"Bravo"	"Y1.RFS001"	"2019-08"
"154"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"587515"	"40"	"Bravo"	"Y1.RFS001"	"2019-08"
"155"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"582850"	"40"	"Bravo"	"Y1.RFS001"	"2019-08"
"156"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"578765"	"40"	"Bravo"	"Y1.RFS001"	"2019-08"
"157"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"554288"	"18"	"Bravo"	"Y1.RFS001"	"2019-08"
"158"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"589525"	"5"	"Bravo"	"Y1.RFS001"	"2019-08"
"159"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"539227"	"10"	"Bravo"	"Y1.RFS001"	"2019-08"
"160"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"565937"	"5"	"Bravo"	"Y1.RFS001"	"2019-08"
"161"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"594822"	"5"	"Bravo"	"Y1.RFS001"	"2019-08"
"162"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"589679"	"5"	"Bravo"	"Y1.RFS001"	"2019-08"
"163"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"595900"	"5"	"Bravo"	"Y1.RFS001"	"2019-08"
"164"	"B.Y1.RFS001.Task.3.LB.DEF.B.43696"	"596696"	"18"	"Bravo"	"Y1.RFS001"	"2019-08"
"165"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"599940"	"16"	"Bravo"	"Y1.RFS001"	"2019-09"
"166"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"560435"	"80"	"Bravo"	"Y1.RFS001"	"2019-09"
"167"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"581524"	"16"	"Bravo"	"Y1.RFS001"	"2019-09"
"168"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"600099"	"6"	"Bravo"	"Y1.RFS001"	"2019-09"
"169"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"547825"	"80"	"Bravo"	"Y1.RFS001"	"2019-09"
"170"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"580919"	"40"	"Bravo"	"Y1.RFS001"	"2019-09"
"171"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"544094"	"160"	"Bravo"	"Y1.RFS001"	"2019-09"
"172"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"581165"	"5"	"Bravo"	"Y1.RFS001"	"2019-09"
"173"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"585044"	"80"	"Bravo"	"Y1.RFS001"	"2019-09"
"174"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"582041"	"10"	"Bravo"	"Y1.RFS001"	"2019-09"
"175"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"586349"	"80"	"Bravo"	"Y1.RFS001"	"2019-09"
"176"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"587515"	"80"	"Bravo"	"Y1.RFS001"	"2019-09"
"177"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"582850"	"80"	"Bravo"	"Y1.RFS001"	"2019-09"
"178"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"578765"	"80"	"Bravo"	"Y1.RFS001"	"2019-09"
"179"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"554288"	"16"	"Bravo"	"Y1.RFS001"	"2019-09"
"180"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"589525"	"5"	"Bravo"	"Y1.RFS001"	"2019-09"
"181"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"539227"	"10"	"Bravo"	"Y1.RFS001"	"2019-09"
"182"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"565937"	"5"	"Bravo"	"Y1.RFS001"	"2019-09"
"183"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"594822"	"5"	"Bravo"	"Y1.RFS001"	"2019-09"
"184"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"589679"	"5"	"Bravo"	"Y1.RFS001"	"2019-09"
"185"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"595900"	"5"	"Bravo"	"Y1.RFS001"	"2019-09"
"186"	"B.Y1.RFS001.Task.3.LB.DEF.B.43727"	"596696"	"16"	"Bravo"	"Y1.RFS001"	"2019-09"
"187"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"599940"	"18"	"Bravo"	"Y1.RFS001"	"2019-10"
"188"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"560435"	"88"	"Bravo"	"Y1.RFS001"	"2019-10"
"189"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"581524"	"18"	"Bravo"	"Y1.RFS001"	"2019-10"
"190"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"600099"	"8"	"Bravo"	"Y1.RFS001"	"2019-10"
"191"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"547825"	"88"	"Bravo"	"Y1.RFS001"	"2019-10"
"192"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"580919"	"44"	"Bravo"	"Y1.RFS001"	"2019-10"
"193"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"544094"	"176"	"Bravo"	"Y1.RFS001"	"2019-10"
"194"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"581165"	"5"	"Bravo"	"Y1.RFS001"	"2019-10"
"195"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"585044"	"80"	"Bravo"	"Y1.RFS001"	"2019-10"
"196"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"582041"	"10"	"Bravo"	"Y1.RFS001"	"2019-10"
"197"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"586349"	"40"	"Bravo"	"Y1.RFS001"	"2019-10"
"198"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"587515"	"40"	"Bravo"	"Y1.RFS001"	"2019-10"
"199"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"582850"	"40"	"Bravo"	"Y1.RFS001"	"2019-10"
"200"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"578765"	"40"	"Bravo"	"Y1.RFS001"	"2019-10"
"201"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"554288"	"18"	"Bravo"	"Y1.RFS001"	"2019-10"
"202"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"589525"	"5"	"Bravo"	"Y1.RFS001"	"2019-10"
"203"	"B.Y1.RFS001.Task.3.LB.DEF.B.43757"	"539227"	"10"	"Bravo"	"Y1.RFS001"	"2019-10"
